1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 4100000037846D21
Is Mission Active?  true
Mission Start:  Mon Nov 04 18:01:00 PST 2019
Sample Rate:  Every 120 minute(s)
Number of Mission Samples:  3190
Total Samples:  14030
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
11/4/19 6:01:00 PM,C,26
11/4/19 8:01:00 PM,C,20.5
11/4/19 10:01:00 PM,C,20.5
11/5/19 12:01:00 AM,C,20.5
11/5/19 2:01:00 AM,C,20.5
11/5/19 4:01:00 AM,C,20.5
11/5/19 6:01:00 AM,C,20.5
11/5/19 8:01:00 AM,C,20.5
11/5/19 10:01:00 AM,C,20.5
11/5/19 12:01:00 PM,C,20.5
11/5/19 2:01:00 PM,C,20.5
11/5/19 4:01:00 PM,C,20.5
11/5/19 6:01:00 PM,C,20.5
11/5/19 8:01:00 PM,C,20.5
11/5/19 10:01:00 PM,C,20.5
11/6/19 12:01:00 AM,C,20.5
11/6/19 2:01:00 AM,C,20.5
11/6/19 4:01:00 AM,C,20.5
11/6/19 6:01:00 AM,C,20
11/6/19 8:01:00 AM,C,20
11/6/19 10:01:00 AM,C,20
11/6/19 12:01:00 PM,C,20
11/6/19 2:01:00 PM,C,17.5
11/6/19 4:01:00 PM,C,10
11/6/19 6:01:00 PM,C,13.5
11/6/19 8:01:00 PM,C,17
11/6/19 10:01:00 PM,C,22.5
11/7/19 12:01:00 AM,C,22
11/7/19 2:01:00 AM,C,21.5
11/7/19 4:01:00 AM,C,21
11/7/19 6:01:00 AM,C,21
11/7/19 8:01:00 AM,C,21
11/7/19 10:01:00 AM,C,21
11/7/19 12:01:00 PM,C,18
11/7/19 2:01:00 PM,C,25.5
11/7/19 4:01:00 PM,C,25
11/7/19 6:01:00 PM,C,24.5
11/7/19 8:01:00 PM,C,21
11/7/19 10:01:00 PM,C,20.5
11/8/19 12:01:00 AM,C,20.5
11/8/19 2:01:00 AM,C,20.5
11/8/19 4:01:00 AM,C,20.5
11/8/19 6:01:00 AM,C,20
11/8/19 8:01:00 AM,C,20
11/8/19 10:01:00 AM,C,20.5
11/8/19 12:01:00 PM,C,21.5
11/8/19 2:01:00 PM,C,22
11/8/19 4:01:00 PM,C,22.5
11/8/19 6:01:00 PM,C,22
11/8/19 8:01:00 PM,C,21.5
11/8/19 10:01:00 PM,C,21
11/9/19 12:01:00 AM,C,20.5
11/9/19 2:01:00 AM,C,20.5
11/9/19 4:01:00 AM,C,20
11/9/19 6:01:00 AM,C,20
11/9/19 8:01:00 AM,C,20.5
11/9/19 10:01:00 AM,C,20.5
11/9/19 12:01:00 PM,C,20
11/9/19 2:01:00 PM,C,20.5
11/9/19 4:01:00 PM,C,21.5
11/9/19 6:01:00 PM,C,21
11/9/19 8:01:00 PM,C,20.5
11/9/19 10:01:00 PM,C,19.5
11/10/19 12:01:00 AM,C,18.5
11/10/19 2:01:00 AM,C,18
11/10/19 4:01:00 AM,C,18
11/10/19 6:01:00 AM,C,18
11/10/19 8:01:00 AM,C,17.5
11/10/19 10:01:00 AM,C,18
11/10/19 12:01:00 PM,C,18.5
11/10/19 2:01:00 PM,C,19.5
11/10/19 4:01:00 PM,C,20.5
11/10/19 6:01:00 PM,C,20
11/10/19 8:01:00 PM,C,20
11/10/19 10:01:00 PM,C,19.5
11/11/19 12:01:00 AM,C,19.5
11/11/19 2:01:00 AM,C,19
11/11/19 4:01:00 AM,C,19
11/11/19 6:01:00 AM,C,18.5
11/11/19 8:01:00 AM,C,18.5
11/11/19 10:01:00 AM,C,19
11/11/19 12:01:00 PM,C,19.5
11/11/19 2:01:00 PM,C,20.5
11/11/19 4:01:00 PM,C,21.5
11/11/19 6:01:00 PM,C,21.5
11/11/19 8:01:00 PM,C,19.5
11/11/19 10:01:00 PM,C,15.5
11/12/19 12:01:00 AM,C,13.5
11/12/19 2:01:00 AM,C,11.5
11/12/19 4:01:00 AM,C,10
11/12/19 6:01:00 AM,C,9
11/12/19 8:01:00 AM,C,17
11/12/19 10:01:00 AM,C,23.5
11/12/19 12:01:00 PM,C,25.5
11/12/19 2:01:00 PM,C,25.5
11/12/19 4:01:00 PM,C,24
11/12/19 6:01:00 PM,C,23.5
11/12/19 8:01:00 PM,C,24
11/12/19 10:01:00 PM,C,24.5
11/13/19 12:01:00 AM,C,23
11/13/19 2:01:00 AM,C,21.5
11/13/19 4:01:00 AM,C,20.5
11/13/19 6:01:00 AM,C,20
11/13/19 8:01:00 AM,C,21
11/13/19 10:01:00 AM,C,21
11/13/19 12:01:00 PM,C,21
11/13/19 2:01:00 PM,C,20.5
11/13/19 4:01:00 PM,C,20.5
11/13/19 6:01:00 PM,C,20.5
11/13/19 8:01:00 PM,C,22.5
11/13/19 10:01:00 PM,C,23.5
11/14/19 12:01:00 AM,C,23
11/14/19 2:01:00 AM,C,22.5
11/14/19 4:01:00 AM,C,22.5
11/14/19 6:01:00 AM,C,22.5
11/14/19 8:01:00 AM,C,24
11/14/19 10:01:00 AM,C,24
11/14/19 12:01:00 PM,C,24.5
11/14/19 2:01:00 PM,C,24.5
11/14/19 4:01:00 PM,C,24.5
11/14/19 6:01:00 PM,C,25
11/14/19 8:01:00 PM,C,25
11/14/19 10:01:00 PM,C,25
11/15/19 12:01:00 AM,C,23
11/15/19 2:01:00 AM,C,22
11/15/19 4:01:00 AM,C,21
11/15/19 6:01:00 AM,C,20.5
11/15/19 8:01:00 AM,C,21.5
11/15/19 10:01:00 AM,C,21.5
11/15/19 12:01:00 PM,C,21.5
11/15/19 2:01:00 PM,C,21.5
11/15/19 4:01:00 PM,C,21.5
11/15/19 6:01:00 PM,C,21.5
11/15/19 8:01:00 PM,C,21.5
11/15/19 10:01:00 PM,C,21
11/16/19 12:01:00 AM,C,19.5
11/16/19 2:01:00 AM,C,19
11/16/19 4:01:00 AM,C,18.5
11/16/19 6:01:00 AM,C,18.5
11/16/19 8:01:00 AM,C,20
11/16/19 10:01:00 AM,C,20.5
11/16/19 12:01:00 PM,C,21
11/16/19 2:01:00 PM,C,21
11/16/19 4:01:00 PM,C,21.5
11/16/19 6:01:00 PM,C,21.5
11/16/19 8:01:00 PM,C,21.5
11/16/19 10:01:00 PM,C,22
11/17/19 12:01:00 AM,C,20
11/17/19 2:01:00 AM,C,19.5
11/17/19 4:01:00 AM,C,19
11/17/19 6:01:00 AM,C,18.5
11/17/19 8:01:00 AM,C,18.5
11/17/19 10:01:00 AM,C,18.5
11/17/19 12:01:00 PM,C,19
11/17/19 2:01:00 PM,C,20
11/17/19 4:01:00 PM,C,21
11/17/19 6:01:00 PM,C,21
11/17/19 8:01:00 PM,C,21.5
11/17/19 10:01:00 PM,C,22
11/18/19 12:01:00 AM,C,21.5
11/18/19 2:01:00 AM,C,20.5
11/18/19 4:01:00 AM,C,20
11/18/19 6:01:00 AM,C,19.5
11/18/19 8:01:00 AM,C,19
11/18/19 10:01:00 AM,C,19
11/18/19 12:01:00 PM,C,19.5
11/18/19 2:01:00 PM,C,19.5
11/18/19 4:01:00 PM,C,19.5
11/18/19 6:01:00 PM,C,19.5
11/18/19 8:01:00 PM,C,20
11/18/19 10:01:00 PM,C,20.5
11/19/19 12:01:00 AM,C,20.5
11/19/19 2:01:00 AM,C,20
11/19/19 4:01:00 AM,C,20
11/19/19 6:01:00 AM,C,20
11/19/19 8:01:00 AM,C,20
11/19/19 10:01:00 AM,C,20.5
11/19/19 12:01:00 PM,C,20.5
11/19/19 2:01:00 PM,C,20
11/19/19 4:01:00 PM,C,20
11/19/19 6:01:00 PM,C,20
11/19/19 8:01:00 PM,C,20
11/19/19 10:01:00 PM,C,19.5
11/20/19 12:01:00 AM,C,19.5
11/20/19 2:01:00 AM,C,19.5
11/20/19 4:01:00 AM,C,19
11/20/19 6:01:00 AM,C,18.5
11/20/19 8:01:00 AM,C,18
11/20/19 10:01:00 AM,C,18
11/20/19 12:01:00 PM,C,18.5
11/20/19 2:01:00 PM,C,18.5
11/20/19 4:01:00 PM,C,18.5
11/20/19 6:01:00 PM,C,18.5
11/20/19 8:01:00 PM,C,19
11/20/19 10:01:00 PM,C,18.5
11/21/19 12:01:00 AM,C,18
11/21/19 2:01:00 AM,C,17.5
11/21/19 4:01:00 AM,C,16.5
11/21/19 6:01:00 AM,C,15.5
11/21/19 8:01:00 AM,C,15.5
11/21/19 10:01:00 AM,C,15.5
11/21/19 12:01:00 PM,C,16
11/21/19 2:01:00 PM,C,18.5
11/21/19 4:01:00 PM,C,11
